timestamp,paymentId,rail,status,rawCode,canonicalCode,origin,responseShape,mapped,durationMs
2025-03-21T07:38:37.000Z,MER-PAY-202500502-006403,SCT_INST,FAILED,DT01,INVALID_DATE,RAIL,STRUCTURED,YES,3874
2025-04-29T04:29:36.000Z,MER-PAY-202500528-007892,SCT,FAILED,AUTH.REQUIRED,ADDITIONAL_AUTH_REQUIRED,CORE,STRUCTURED,YES,1854
2025-04-23T23:50:58.000Z,MER-PAY-202500525-000622,SWIFT,SUCCESS,,,,SUCCESS,,612
2025-05-15T08:44:47.000Z,MER-PAY-202500421-001051,SCT_INST,SUCCESS,,,,SUCCESS,,3051
2025-04-03T09:59:47.000Z,MER-PAY-202500508-000807,SCT,SUCCESS,,,,SUCCESS,,1575
2025-04-29T01:21:36.000Z,MER-PAY-202500506-000078,SCT_INST,SUCCESS,,,,SUCCESS,,2986
2025-03-08T22:52:41.000Z,MER-PAY-202500525-009643,SCT_INST,FAILED,EB-PRIV-001,,UNKNOWN,RAW,NO,390
2025-04-25T20:46:01.000Z,MER-PAY-202500327-006686,SCT,FAILED,TIMEOUT,RAIL_TIMEOUT,CONNECTOR,STRUCTURED,YES,11206
2025-04-22T15:21:10.000Z,MER-PAY-202500412-001050,SWIFT,SUCCESS,,,,SUCCESS,,7078
2025-04-05T14:18:32.000Z,MER-PAY-202500316-002491,SCT,SUCCESS,,,,SUCCESS,,2484
2025-04-05T00:31:52.000Z,MER-PAY-202500307-001008,SCT,SUCCESS,,,,SUCCESS,,1522
2025-03-03T19:15:16.000Z,MER-PAY-202500423-009897,SWIFT,FAILED,RJCT,,UNKNOWN,GENERIC,NO,3079
2025-03-04T00:44:24.000Z,MER-PAY-202500406-008875,SCT,FAILED,OFAC.HOLD,OFAC_HOLD,CORE,STRUCTURED,YES,1052
2025-03-23T16:12:25.000Z,MER-PAY-202500411-006430,SCT_INST,FAILED,RR04,REGULATORY_REASON,RAIL,STRUCTURED,YES,1575
2025-04-10T03:11:48.000Z,MER-PAY-202500306-001216,SCT,SUCCESS,,,,SUCCESS,,7561
2025-03-06T10:32:07.000Z,MER-PAY-202500401-003568,SCT,SUCCESS,,,,SUCCESS,,3794
2025-05-09T06:53:22.000Z,MER-PAY-202500507-004511,SCT,FAILED,DT01,INVALID_DATE,RAIL,STRUCTURED,YES,426
2025-03-30T09:11:07.000Z,MER-PAY-202500309-003493,SCT_INST,SUCCESS,,,,SUCCESS,,4938
2025-05-04T20:36:21.000Z,MER-PAY-202500302-009983,SWIFT,FAILED,RJCT,,UNKNOWN,GENERIC,NO,4521
2025-04-01T12:10:41.000Z,MER-PAY-202500524-008590,SCT,FAILED,OFAC.HOLD,OFAC_HOLD,CORE,STRUCTURED,YES,546
2025-04-25T20:53:42.000Z,MER-PAY-202500426-004128,SCT,FAILED,AC06,BLOCKED_ACCOUNT,RAIL,STRUCTURED,YES,694
2025-05-05T02:01:08.000Z,MER-PAY-202500323-001721,SCT,SUCCESS,,,,SUCCESS,,3240
2025-03-12T17:33:11.000Z,MER-PAY-202500422-003296,SCT,SUCCESS,,,,SUCCESS,,5333
2025-03-10T09:52:27.000Z,MER-PAY-202500427-001298,SCT,SUCCESS,,,,SUCCESS,,991
2025-05-18T09:12:24.000Z,MER-PAY-202500428-002184,SCT_INST,SUCCESS,,,,SUCCESS,,4980
2025-05-20T15:59:34.000Z,MER-PAY-202500301-008877,SCT,FAILED,CURR.MISMATCH,CURRENCY_MISMATCH,CORE,STRUCTURED,YES,385
2025-04-29T22:05:46.000Z,MER-PAY-202500323-001736,SCT_INST,SUCCESS,,,,SUCCESS,,5282
2025-05-23T23:46:24.000Z,MER-PAY-202500523-005544,SCT,FAILED,AC01,INCORRECT_ACCOUNT_NUMBER,RAIL,STRUCTURED,YES,3572
2025-05-27T03:37:16.000Z,MER-PAY-202500327-003397,SCT,SUCCESS,,,,SUCCESS,,1201
2025-03-22T22:05:47.000Z,MER-PAY-202500308-008487,SCT,FAILED,CURR.MISMATCH,CURRENCY_MISMATCH,CORE,STRUCTURED,YES,1585
2025-05-05T14:49:42.000Z,MER-PAY-202500319-003214,SCT,SUCCESS,,,,SUCCESS,,5151
2025-05-02T17:00:21.000Z,MER-PAY-202500317-006723,SCT_INST,FAILED,TIMEOUT,RAIL_TIMEOUT,CONNECTOR,STRUCTURED,YES,11580
2025-04-05T14:53:27.000Z,MER-PAY-202500427-008249,SCT,FAILED,BAL.INSUFFICIENT,INSUFFICIENT_FUNDS,CORE,STRUCTURED,YES,1397
2025-04-01T00:45:18.000Z,MER-PAY-202500512-001733,SCT,SUCCESS,,,,SUCCESS,,3777
2025-05-27T13:54:07.000Z,MER-PAY-202500502-001805,SCT,SUCCESS,,,,SUCCESS,,5161
2025-05-19T18:21:15.000Z,MER-PAY-202500319-002088,SCT,SUCCESS,,,,SUCCESS,,5424
2025-03-16T20:21:48.000Z,MER-PAY-202500526-005362,SCT,FAILED,AC04,CLOSED_ACCOUNT,RAIL,STRUCTURED,YES,2297
2025-05-10T22:45:53.000Z,MER-PAY-202500506-002032,SCT_INST,SUCCESS,,,,SUCCESS,,2403
2025-03-14T12:51:33.000Z,MER-PAY-202500303-008522,SCT,FAILED,AUTH.REQUIRED,ADDITIONAL_AUTH_REQUIRED,CORE,STRUCTURED,YES,1447
2025-05-02T07:58:26.000Z,MER-PAY-202500514-008996,SCT,FAILED,BAL.LIMIT.EXCEEDED,DAILY_LIMIT_EXCEEDED,CORE,STRUCTURED,YES,1239
2025-04-28T20:54:00.000Z,MER-PAY-202500409-006865,SCT,FAILED,TIMEOUT,RAIL_TIMEOUT,CONNECTOR,STRUCTURED,YES,10703
2025-04-16T16:28:47.000Z,MER-PAY-202500327-009203,SCT,FAILED,AC.PEND.REVIEW,,UNKNOWN,RAW,NO,1309
2025-04-28T07:07:27.000Z,MER-PAY-202500407-001266,SCT,SUCCESS,,,,SUCCESS,,1275
2025-04-13T22:53:05.000Z,MER-PAY-202500312-009468,SCT_INST,FAILED,AC.PEND.REVIEW,,UNKNOWN,RAW,NO,420
2025-03-11T01:45:06.000Z,MER-PAY-202500513-003239,SCT,SUCCESS,,,,SUCCESS,,4642
2025-04-16T05:34:11.000Z,MER-PAY-202500505-005063,SCT_INST,FAILED,AG01,TRANSACTION_FORBIDDEN,RAIL,STRUCTURED,YES,3285
2025-03-27T11:15:37.000Z,MER-PAY-202500318-002207,SCT,SUCCESS,,,,SUCCESS,,434
2025-04-21T14:53:48.000Z,MER-PAY-202500511-000605,SCT,SUCCESS,,,,SUCCESS,,7808
2025-05-26T05:51:32.000Z,MER-PAY-202500501-001198,SCT_INST,SUCCESS,,,,SUCCESS,,5435
2025-03-07T23:44:28.000Z,MER-PAY-202500418-005925,SCT,FAILED,BE04,MISSING_CREDITOR_ADDRESS,RAIL,STRUCTURED,YES,3869
2025-04-26T18:42:14.000Z,MER-PAY-202500514-009653,SCT_INST,FAILED,AC.PEND.REVIEW,,UNKNOWN,RAW,NO,308
2025-04-11T05:48:23.000Z,MER-PAY-202500419-006588,SCT_INST,FAILED,TM01,CUTOFF_TIME_EXCEEDED,RAIL,STRUCTURED,YES,368
2025-05-14T18:09:03.000Z,MER-PAY-202500512-005976,SCT,FAILED,DT01,INVALID_DATE,RAIL,STRUCTURED,YES,462
2025-05-14T22:10:46.000Z,MER-PAY-202500408-004449,SCT,FAILED,TM01,CUTOFF_TIME_EXCEEDED,RAIL,STRUCTURED,YES,3123
2025-03-19T22:53:42.000Z,MER-PAY-202500327-008166,SCT,FAILED,BAL.LIMIT.EXCEEDED,DAILY_LIMIT_EXCEEDED,CORE,STRUCTURED,YES,1113
2025-03-26T10:12:41.000Z,MER-PAY-202500525-002384,SCT,SUCCESS,,,,SUCCESS,,7288
2025-03-12T11:58:16.000Z,MER-PAY-202500327-001852,SCT,SUCCESS,,,,SUCCESS,,2141
2025-04-01T03:39:54.000Z,MER-PAY-202500312-008446,SCT,FAILED,AC.CLOSED,ACCOUNT_CLOSED,CORE,STRUCTURED,YES,727
2025-05-06T15:21:57.000Z,MER-PAY-202500516-002488,SCT_INST,SUCCESS,,,,SUCCESS,,1923
2025-04-08T08:17:44.000Z,MER-PAY-202500509-009516,SCT_INST,FAILED,AC.PEND.REVIEW,,UNKNOWN,RAW,NO,1127
2025-04-25T09:32:01.000Z,MER-PAY-202500423-003112,SCT,SUCCESS,,,,SUCCESS,,6018
2025-03-10T04:57:06.000Z,MER-PAY-202500325-006732,SWIFT,FAILED,TIMEOUT,RAIL_TIMEOUT,CONNECTOR,STRUCTURED,YES,11230
2025-03-08T21:53:06.000Z,MER-PAY-202500315-003253,SCT,SUCCESS,,,,SUCCESS,,2951
2025-04-30T04:14:59.000Z,MER-PAY-202500316-003926,SCT,SUCCESS,,,,SUCCESS,,4786
2025-03-20T13:24:47.000Z,MER-PAY-202500503-003751,SCT,SUCCESS,,,,SUCCESS,,6043
2025-03-07T23:34:11.000Z,MER-PAY-202500512-008202,SCT,FAILED,BAL.LIMIT.EXCEEDED,DAILY_LIMIT_EXCEEDED,CORE,STRUCTURED,YES,1154
2025-04-08T22:37:31.000Z,MER-PAY-202500412-000211,SCT,SUCCESS,,,,SUCCESS,,6611
2025-03-15T23:08:33.000Z,MER-PAY-202500515-006083,SCT,FAILED,DT01,INVALID_DATE,RAIL,STRUCTURED,YES,3189
2025-03-26T21:47:17.000Z,MER-PAY-202500305-007209,SCT_INST,FAILED,TIMEOUT,RAIL_TIMEOUT,CONNECTOR,STRUCTURED,YES,10877
2025-04-18T23:29:27.000Z,MER-PAY-202500412-004411,SCT_INST,FAILED,AC04,CLOSED_ACCOUNT,RAIL,STRUCTURED,YES,2852
2025-03-21T23:34:05.000Z,MER-PAY-202500413-003241,SCT_INST,SUCCESS,,,,SUCCESS,,1581
2025-03-22T00:19:47.000Z,MER-PAY-202500409-005086,SCT,FAILED,DT01,INVALID_DATE,RAIL,STRUCTURED,YES,1811
2025-03-23T19:54:47.000Z,MER-PAY-202500421-002695,SCT,SUCCESS,,,,SUCCESS,,3566
2025-03-10T06:44:17.000Z,MER-PAY-202500323-004285,SCT,FAILED,MS03,REASON_NOT_SPECIFIED,RAIL,STRUCTURED,YES,2730
2025-04-16T11:23:44.000Z,MER-PAY-202500428-006972,SCT_INST,FAILED,CONNECTION_ERROR,RAIL_CONNECTION_FAILED,CONNECTOR,STRUCTURED,YES,432
2025-05-14T16:54:46.000Z,MER-PAY-202500506-009414,SCT,FAILED,EB-PRIV-001,,UNKNOWN,RAW,NO,1052
2025-05-17T01:06:22.000Z,MER-PAY-202500415-009314,SCT_INST,FAILED,AC.PEND.REVIEW,,UNKNOWN,RAW,NO,512
2025-05-19T20:38:34.000Z,MER-PAY-202500321-007967,SCT_INST,FAILED,OFAC.HOLD,OFAC_HOLD,CORE,STRUCTURED,YES,400
2025-05-13T05:13:32.000Z,MER-PAY-202500313-001835,SCT_INST,SUCCESS,,,,SUCCESS,,4735
2025-03-14T03:02:45.000Z,MER-PAY-202500526-005789,SCT,FAILED,MS03,REASON_NOT_SPECIFIED,RAIL,STRUCTURED,YES,2308
2025-05-28T11:55:29.000Z,MER-PAY-202500328-001478,SCT_INST,SUCCESS,,,,SUCCESS,,6809
2025-04-01T01:46:57.000Z,MER-PAY-202500403-009333,SCT,FAILED,EB-PRIV-002,,UNKNOWN,RAW,NO,360
2025-04-03T01:44:11.000Z,MER-PAY-202500522-009982,SWIFT,FAILED,RJCT,,UNKNOWN,GENERIC,NO,1917
2025-05-29T02:42:15.000Z,MER-PAY-202500510-002374,SCT_INST,SUCCESS,,,,SUCCESS,,4872
